
02/26/19 17:40:19|FF17|||3|0|0|0|1144|perf-batt-PIR-reed-light||00 03 00 1e 01 00 
02/26/19 17:40:32|FF17|||3|0|0|0|1144|perf-batt-PIR-reed-light||00 03 00 1e 01 00 
02/26/19 17:41:35|FF17|||||
02/26/19 17:42:16|FF17|||3|0|0|0|1184|perf-batt-PIR-reed-light||00 03 00 28 01 00 
02/26/19 17:42:28|FF17|||3|0|0|0|1184|perf-batt-PIR-reed-light||00 03 00 28 01 00 
02/26/19 17:45:00|FF17|||3|0|0|0|1200|perf-batt-PIR-reed-light||00 03 00 2c 01 00 
02/26/19 17:45:12|FF17|||3|0|0|0|1200|perf-batt-PIR-reed-light||00 03 00 2c 01 00 
02/26/19 18:29:41|FF17|||3|0|0|0|1060|perf-batt-PIR-reed-light||00 03 00 09 01 00 
02/26/19 18:31:57|FF17|||||
02/27/19 14:26:31|FF17|||0|0|0|0|0|perf-batt-PIR-reed-light||00 00 00 00 00 00 
02/27/19 14:32:09|FF17|||3|0|0|0|1280|perf-batt-PIR-reed-light||00 03 00 40 01 00 
02/27/19 14:33:35|FF17|||3|0|0|0|1264|perf-batt-PIR-reed-light||00 03 00 3c 01 00 
02/27/19 14:33:48|FF17|||3|0|0|0|1264|perf-batt-PIR-reed-light||00 03 00 3c 01 00 
02/27/19 14:57:24|FF17|||3|1|0|0|1180|perf-batt-PIR-reed-light||00 03 01 27 01 00 
02/27/19 14:57:39|FF17|||3|1|0|0|1180|perf-batt-PIR-reed-light||00 03 01 27 01 00 
02/27/19 15:57:53|FF17|||3|0|0|0|1224|perf-batt-PIR-reed-light||00 03 00 32 01 00 
02/27/19 16:58:00|FF17|||3|0|0|0|1268|perf-batt-PIR-reed-light||00 03 00 3d 01 00 
02/27/19 17:58:11|FF17|||3|0|0|0|1228|perf-batt-PIR-reed-light||00 03 00 33 01 00 
02/27/19 18:58:21|FF17|||3|0|0|0|1232|perf-batt-PIR-reed-light||00 03 00 34 01 00 
02/27/19 19:58:29|FF17|||3|0|0|0|1212|perf-batt-PIR-reed-light||00 03 00 2f 01 00 
02/27/19 20:58:37|FF17|||3|0|0|0|1204|perf-batt-PIR-reed-light||00 03 00 2d 01 00 
